FMTNAME,TYPE,START,END,LABEL
CFPULMC,C,0.0,0.0,Absent
CFPULMC,C,1.0,1.0,Left
CFPULMC,C,2.0,2.0,Right
CFPULMC,C,3.0,3.0,Bilateral
COUNTRY,C,,,
CRTFTYP,C,1.0,1.0,Inclusion
CRTFTYP,C,2.0,2.0,Exclusion
CTCG,C,1.0,1.0,Grade 1
CTCG,C,2.0,2.0,Grade 2
CTCG,C,3.0,3.0,Grade 3
CTCG,C,4.0,4.0,Grade 4
CTCG,C,5.0,5.0,Grade 5
CXBRESP,C,1.0,1.0,Complete Response
CXBRESP,C,2.0,2.0,Partial Response
CXBRESP,C,4.0,4.0,Stable Disease
CXBRESP,C,5.0,5.0,Progression
CXBRESP,C,6.0,6.0,Non-Evaluable
CXBRESP,C,98.0,98.0,Not Applicable
CXCLASS,C,0.0,0.0,Chemotherapy
CXCLASS,C,2.0,2.0,Other Systemic AntiCancer Therapy
CXCLASS,C,3.0,3.0,Immunotherapy
CXCLASS,C,4.0,4.0,Hormonal Therapy
CXOTHER,C,0.0,0.0,Previous
CXOTHER,C,1.0,1.0,Current
CXOTHER,C,2.0,2.0,Post
DIAGMTH,C,3.0,3.0,Histological
DIAGMTH,C,4.0,4.0,Cytological
DISSITE,C,1.0,1.0,Brain/CNS
DISSITE,C,10.0,10.0,Skin/Soft Tissue
DISSITE,C,11.0,11.0,Bone and Locomotor
DISSITE,C,12.0,12.0,Adrenal
DISSITE,C,13.0,13.0,Lymph Nodes
DISSITE,C,14.0,14.0,Pericardial Effusion
DISSITE,C,15.0,15.0,Peritoneum
DISSITE,C,16.0,16.0,Other CNS
DISSITE,C,17.0,17.0,Neck
DISSITE,C,2.0,2.0,Cardiovascular
DISSITE,C,3.0,3.0,Pleural Effusion
DISSITE,C,4.0,4.0,Respiratory
DISSITE,C,5.0,5.0,Ascites
DISSITE,C,6.0,6.0,Breast
DISSITE,C,7.0,7.0,Gastrointestinal
DISSITE,C,8.0,8.0,Hepatic (including Gall Bladder)
DISSITE,C,9.0,9.0,Genitourinary
DISSITE,C,98.0,98.0,Other Locally Advanced Sites
DISSITE,C,99.0,99.0,Other Metastatic Sites
DMTNM,C,0.0,0.0,M0
DMTNM,C,10.0,10.0,M1
DTHDES,C,1.0,1.0,Primary
DTHDES,C,2.0,2.0,Secondary
ECGABSI,C,0.0,0.0,Not Clinically Significant
ECGABSI,C,1.0,1.0,Clinically Significant
EPSTAT,C,0.0,0.0,Negative
EPSTAT,C,1.0,1.0,Positive
EPSTAT,C,2.0,2.0,1+
EPSTAT,C,3.0,3.0,2+
EPSTAT,C,4.0,4.0,3+
EPSTAT,C,5.0,5.0,0
EPSTAT,C,95.0,95.0,Not Done
EPSTAT,C,97.0,97.0,Unknown
ETHGRP,C,1.0,1.0,Hispanic or Latino
ETHGRP,C,10.0,10.0,Japanese
ETHGRP,C,2.0,2.0,Native American
ETHGRP,C,3.0,3.0,Native Alaskan / Inuit
ETHGRP,C,4.0,4.0,Native Hawaiian / Pacific Islander
ETHGRP,C,5.0,5.0,African
ETHGRP,C,6.0,6.0,African-American
ETHGRP,C,7.0,7.0,African-Caribbean
ETHGRP,C,8.0,8.0,Asian (other than Chinese and Japanese)
ETHGRP,C,9.0,9.0,Chinese
ETHGRP,C,98.0,98.0,Not Applicable
ETHGRP,C,99.0,99.0,Other
FAILREA,C,1.0,1.0,Toxicity
FAILREA,C,2.0,2.0,Progression on Therapy
FAILREA,C,3.0,3.0,Progresssion following Completion of Therapy
FAILREA,C,98.0,98.0,Not Applicable
HSTLTYP,C,0.0,0.0,Cannot Be Determined
HSTLTYP,C,1.0,1.0,No Tumour
HSTLTYP,C,100.0,100.0,Non-Invasive Carcinoma (NOS)
HSTLTYP,C,101.0,101.0,Ductal Carcinoma In Situ
HSTLTYP,C,102.0,102.0,Lobular Carcinoma In Situ
HSTLTYP,C,103.0,103.0,Invasive Carcinoma (NOS)
HSTLTYP,C,104.0,104.0,Invasive Ductal
HSTLTYP,C,105.0,105.0,Invasive Ductal Carcinoma With Extensive Intraductal Component
HSTLTYP,C,106.0,106.0,Invasive Lobular
HSTLTYP,C,107.0,107.0,Mucinous
HSTLTYP,C,108.0,108.0,Medullary
HSTLTYP,C,109.0,109.0,Papillary
HSTLTYP,C,110.0,110.0,Tubular
HSTLTYP,C,111.0,111.0,Adenoid Cystic
HSTLTYP,C,112.0,112.0,Secretory (Juvenile)
HSTLTYP,C,113.0,113.0,Apocrine
HSTLTYP,C,114.0,114.0,Cribriform
HSTLTYP,C,115.0,115.0,Paget's Disease of the Nipple With Invasive Carcinoma
HSTLTYP,C,116.0,116.0,Paget's Disease of the Nipple w/o Invasive Carcinoma
HSTLTYP,C,117.0,117.0,Carcinoma w/ Metaplasia: Squamous
HSTLTYP,C,118.0,118.0,Carcinoma w/ Metaplasia: Spindle Cell
HSTLTYP,C,119.0,119.0,Carcinoma w/ Metaplasia: Cartilaginous and Osseous Type
HSTLTYP,C,120.0,120.0,Carcinoma w/ Metaplasia: Mixed Type
HSTLTYP,C,121.0,121.0,Inflammatory
HSTLTYP,C,99.0,99.0,Other
INVOP,C,1.0,1.0,Responding
INVOP,C,2.0,2.0,Stable
INVOP,C,3.0,3.0,Progressing
IPDCREA,C,1.0,1.0,Adverse Event
IPDCREA,C,2.0,2.0,Condition Under Investigation Worsened
IPDCREA,C,6.0,6.0,Subject lost to Follow-up
IPDCREA,C,7.0,7.0,Voluntary Discontinuation by Subject
IPDCREA,C,8.0,8.0,Severe Non-compliance to Protocol
IPDCREA,C,99.0,99.0,Other
LABCODE,C,4002.0,4002.0,B-Haematocrit
LABCODE,C,4003.0,4003.0,B-Erythrocyte Count
LABCODE,C,4004.0,4004.0,B-Haemoglobin
LABCODE,C,4005.0,4005.0,B-Leucocyte Count
LABCODE,C,4006.0,4006.0,B-Platelet Count
LABCODE,C,4009.0,4009.0,B-Activated Partial Thromboplastin Time
LABCODE,C,4032.0,4032.0,B-Neutrophils(absolute)
LABCODE,C,4033.0,4033.0,Eosinophils
LABCODE,C,4034.0,4034.0,Basophils (Blood)
LABCODE,C,4035.0,4035.0,Lymphocytes (Blood)
LABCODE,C,4036.0,4036.0,Monocytes (Blood)
LABCODE,C,4040.0,4040.0,B-Mean Cell Haemoglobin
LABCODE,C,4041.0,4041.0,B-Mean Cell Haemoglobin Concentration
LABCODE,C,4042.0,4042.0,B-Eosinophils(absolute)
LABCODE,C,4045.0,4045.0,B-Mean Cell Volume
LABCODE,C,4049.0,4049.0,Neutrophils (Blood)
LABCODE,C,4050.0,4050.0,B-Basophils(absolute)
LABCODE,C,4051.0,4051.0,"B-Lymphocytes, (absolute)"
LABCODE,C,4052.0,4052.0,"B-Monocytes, (absolute)"
LABCODE,C,4230.0,4230.0,B-Fibrinogen
LABCODE,C,4404.0,4404.0,B-Prothrombin Complex INR
LABCODE,C,5122.0,5122.0,U-Glucose
LABCODE,C,5135.0,5135.0,U-pH
LABCODE,C,5149.0,5149.0,U-Protein
LABCODE,C,5175.0,5175.0,"U-Bilirubin, Strip"
LABCODE,C,5200.0,5200.0,U-Haemoglobin
LABCODE,C,5512.0,5512.0,"U-Ketone Bodies, Strip"
LABCODE,C,5558.0,5558.0,"U-Sediment, Crystals, Qual"
LABCODE,C,5741.0,5741.0,"U-Sediment, Casts, Qual"
LABCODE,C,5742.0,5742.0,U-Blood
LABCODE,C,5816.0,5816.0,"U-Sediment, Epithelial Cell, Qual"
LABCODE,C,5826.0,5826.0,U-Specific Gravity
LABCODE,C,55101.0,55101.0,Alanine Aminotransferase
LABCODE,C,55102.0,55102.0,Aspartate Aminotransferase
LABCODE,C,55104.0,55104.0,Alkaline Phosphatase
LABCODE,C,55105.0,55105.0,Lactate Dehydrogenase
LABCODE,C,55108.0,55108.0,Creatinine
LABCODE,C,55110.0,55110.0,"Bilirubin, Total"
LABCODE,C,55112.0,55112.0,Sodium
LABCODE,C,55113.0,55113.0,Potassium
LABCODE,C,55118.0,55118.0,Albumin
LABCODE,C,55151.0,55151.0,Total Calcium
LABCODE,C,55229.0,55229.0,Blood Urea Nitrogen
LABCODE,C,55706.0,55706.0,"Glucose, Random"
LABCODE,C,55822.0,55822.0,"Glucose, Fasting"
LABVDIP,C,1.0,1.0,NEG
LABVDIP,C,2.0,2.0,TRACE
LABVDIP,C,3.0,3.0,POS
LABVDIP,C,4.0,4.0,0
LABVDIP,C,5.0,5.0,+
LABVDIP,C,6.0,6.0,++
LABVDIP,C,7.0,7.0,+++
LABVDIP,C,8.0,8.0,>+++
LNTNM,C,0.0,0.0,N0
LNTNM,C,1.0,1.0,N1
LNTNM,C,2.0,2.0,N2
LNTNM,C,3.0,3.0,N3
LNTNM,C,9.0,9.0,NX
LOCMET,C,2.0,2.0,Locally Advanced
LOCMET,C,3.0,3.0,Metastatic
LOCMET,C,4.0,4.0,Both
LVEFMTH,C,1.0,1.0,Echocardiography
LVEFMTH,C,2.0,2.0,Radionuclide Ventriculography
LVEFMTH,C,99.0,99.0,Other
LYNCTOX,C,1.0,1.0,Mild
LYNCTOX,C,2.0,2.0,Moderate
LYNCTOX,C,3.0,3.0,severe
MEDREAC,C,1.0,1.0,Disease Under Study
MEDREAC,C,99.0,99.0,Other
MPEFF,C,0.0,0.0,Absent
MPEFF,C,1.0,1.0,Present
NEGPOS,C,0.0,0.0,Negative
NEGPOS,C,1.0,1.0,Positive
NEWLES,C,0.0,0.0,No
NEWLES,C,1.0,1.0,Yes
NMLESCD,C,14.0,14.0,Tumour Too Large to Accurately Measure
NMLESCD,C,15.0,15.0,Tumour Too Small to Accurately Measure
NMLESCD,C,91.0,91.0,Not Evaluable
NORMAL,C,0.0,0.0,Normal
NORMAL,C,1.0,1.0,Abnormal
NORMALF,C,0.0,0.0,Normal
NORMALF,C,1.0,1.0,"Abnormal, same as Baseline"
NORMALF,C,2.0,2.0,"Abnormal, New or Aggravated"
NORMALX,C,0.0,0.0,Normal
NORMALX,C,1.0,1.0,Abnormal
NORMALX,C,2.0,2.0,Borderline
NOYES,C,0.0,0.0,No
NOYES,C,1.0,1.0,Yes
NOYESNA,C,0.0,0.0,No
NOYESNA,C,1.0,1.0,Yes
NOYESNA,C,98.0,98.0,Not Applicable
PASTCUR,C,1.0,1.0,Past
PASTCUR,C,2.0,2.0,Current
PHSITEM,C,1.0,1.0,General Appearance
PHSITEM,C,10.0,10.0,Neurological
PHSITEM,C,11.0,11.0,Genital / Rectal
PHSITEM,C,2.0,2.0,Skin
PHSITEM,C,3.0,3.0,Head and Neck
PHSITEM,C,4.0,4.0,Lymph Nodes
PHSITEM,C,5.0,5.0,Thyroid
PHSITEM,C,6.0,6.0,Musculoskeletal / Extremities
PHSITEM,C,7.0,7.0,Cardiovascular
PHSITEM,C,8.0,8.0,Lungs
PHSITEM,C,9.0,9.0,Abdomen
PMETH,C,0.0,0.0,Sample Fixed
PMETH,C,1.0,1.0,Sample Frozen
PMETH,C,2.0,2.0,Sample Fixed and Frozen
PMETH,C,3.0,3.0,Formalin Fixed
PMETH,C,4.0,4.0,Paraffin Embedded
PMETH,C,5.0,5.0,Formalin Fixed and Paraffin Embedded
PMETH,C,99.0,99.0,Other
PSTAT,C,0.0,0.0,Normal Activity
PSTAT,C,1.0,1.0,Restricted Activity
PSTAT,C,2.0,2.0,In Bed Less Than or Equal to 50% of the Time
PSTAT,C,3.0,3.0,In Bed More Than 50% of the Time
PSTAT,C,4.0,4.0,100% Bedridden
PTTNM,C,10.0,10.0,T1
PTTNM,C,20.0,20.0,T2
PTTNM,C,30.0,30.0,T3
PTTNM,C,40.0,40.0,T4
PTTNM,C,9.0,9.0,TX
PTUMTYP,C,1.0,1.0,Uveal
PTUMTYP,C,2.0,2.0,Mucosal
PTUMTYP,C,3.0,3.0,Cutaneous
PTUMTYP,C,97.0,97.0,Unknown
PTUMTYP,C,99.0,99.0,Other
QCOMPL,C,0.0,0.0,No
QCOMPL,C,1.0,1.0,Yes
QCOMPL,C,2.0,2.0,Partly
QREASND,C,1.0,1.0,Subject Unwilling
QREASND,C,2.0,2.0,Subject Cannot Understand Instructions
QREASND,C,4.0,4.0,"Subject Too Sick, Other Than Disease Under Investigation"
QREASND,C,6.0,6.0,Subject Too Affected by Symptoms of Disease Under Investigation
QREASND,C,7.0,7.0,Relevant Language Version Not Available
QREASND,C,8.0,8.0,Administrative Failure Distribute Questionnaire to Subject
QREASND,C,99.0,99.0,Other
RACE,C,11.0,11.0,White
RACE,C,12.0,12.0,Black or African American
RACE,C,13.0,13.0,Asian
RACE,C,14.0,14.0,Native Hawaiian or Other Pacific Islander
RACE,C,15.0,15.0,American Indian or Alaska Native
RACE,C,99.0,99.0,Other
RECEPTY,C,1.0,1.0,ER
RECEPTY,C,2.0,2.0,PR
RECEPTY,C,3.0,3.0,HER2
RLESSIT,C,1.0,1.0,Adrenal
RLESSIT,C,10.0,10.0,Local Lymph Nodes
RLESSIT,C,11.0,11.0,Distant Lymph Nodes
RLESSIT,C,13.0,13.0,Lung
RLESSIT,C,14.0,14.0,Peritoneum
RLESSIT,C,15.0,15.0,Pleura
RLESSIT,C,17.0,17.0,Renal
RLESSIT,C,18.0,18.0,Skin/Soft Tissue
RLESSIT,C,19.0,19.0,Small Bowel
RLESSIT,C,2.0,2.0,Bone
RLESSIT,C,20.0,20.0,Stomach
RLESSIT,C,21.0,21.0,Pancreas
RLESSIT,C,22.0,22.0,Thyroid
RLESSIT,C,25.0,25.0,Buccal
RLESSIT,C,29.0,29.0,Ovary
RLESSIT,C,3.0,3.0,Breast
RLESSIT,C,30.0,30.0,Uterus
RLESSIT,C,31.0,31.0,Cervix
RLESSIT,C,33.0,33.0,Colon
RLESSIT,C,34.0,34.0,Rectal
RLESSIT,C,35.0,35.0,Biliary Tract
RLESSIT,C,36.0,36.0,Muscle
RLESSIT,C,38.0,38.0,Ascites
RLESSIT,C,39.0,39.0,Pericardial Effusion
RLESSIT,C,4.0,4.0,Bladder
RLESSIT,C,40.0,40.0,Uveal
RLESSIT,C,41.0,41.0,Mucosal
RLESSIT,C,42.0,42.0,Oropharynx
RLESSIT,C,43.0,43.0,Hypopharynx
RLESSIT,C,44.0,44.0,Supraglottis
RLESSIT,C,45.0,45.0,Glottis
RLESSIT,C,46.0,46.0,Subglottis
RLESSIT,C,48.0,48.0,Fallopian Tubes
RLESSIT,C,5.0,5.0,Central Nervous System (Brain/Spinal Cord/Ophthalmic)
RLESSIT,C,6.0,6.0,Spleen
RLESSIT,C,51.0,51.0,Pleural Effusion
RLESSIT,C,7.0,7.0,Oesophagus
RLESSIT,C,8.0,8.0,"Head and Neck (including Nasopharynx, Larynx, Trachea)"
RLESSIT,C,9.0,9.0,Liver
RLESSIT,C,99.0,99.0,Other
RMETH,C,11.0,11.0,Bone Scan
RMETH,C,12.0,12.0,Clinical Examination
RMETH,C,13.0,13.0,Conventional CT
RMETH,C,15.0,15.0,FDG-PET
RMETH,C,2.0,2.0,CT
RMETH,C,3.0,3.0,Spiral CT
RMETH,C,4.0,4.0,X-ray
RMETH,C,5.0,5.0,MRI
RMETH,C,7.0,7.0,Ultrasound
RMETH,C,95.0,95.0,Not Done
RMETHOD,C,1.0,1.0,IHC
RMETHOD,C,2.0,2.0,FISH
RMETHOD,C,3.0,3.0,CISH
RMETHOD,C,95.0,95.0,Not Done
ROUTEVL,C,1.0,1.0,Oral
ROUTEVL,C,12.0,12.0,Ophthalmic
ROUTEVL,C,13.0,13.0,Auricular (OTIC)
ROUTEVL,C,14.0,14.0,Nasal
ROUTEVL,C,15.0,15.0,Vaginal
ROUTEVL,C,16.0,16.0,Rectal
ROUTEVL,C,17.0,17.0,Urethral
ROUTEVL,C,24.0,24.0,Sublingual
ROUTEVL,C,38.0,38.0,Dental
ROUTEVL,C,130.0,130.0,Cutaneous
ROUTEVL,C,136.0,136.0,Respiratory (Inhalation)
ROUTEVL,C,139.0,139.0,Unknown
ROUTEVL,C,312.0,312.0,Not Applicable
ROUTEVL,C,313.0,313.0,Enteral
ROUTEVL,C,411.0,411.0,Parenteral
ROUTEVL,C,901.0,901.0,Oromucosal (incl. Sublingual)
RRESP,C,1.0,1.0,Complete Response
RRESP,C,2.0,2.0,Partial Response
RRESP,C,3.0,3.0,Progressive Disease
RRESP,C,4.0,4.0,Stable Disease (Non-CR/Non-PD)
RRESP,C,5.0,5.0,Non-CR/Non-PD
RRESP,C,6.0,6.0,Not Evaluable
RRESP,C,98.0,98.0,Not Applicable
SACRBAG,C,1.0,1.0,Empty
SACRBAG,C,2.0,2.0,Partially Empty
SACRBAG,C,3.0,3.0,Full
SAMPTYP,C,1.0,1.0,Biopsy
SAMPTYP,C,2.0,2.0,Resection
SCHRTT,C,1.0,1.0,0-5mm
SCHRTT,C,2.0,2.0,>5-10mm
SCHRTT,C,3.0,3.0,>10mm
SDACN,C,0.0,0.0,Dose Not Changed
SDACN,C,2.0,2.0,Dose Reduced
SDACN,C,3.0,3.0,Drug Interrupted
SDACN,C,98.0,98.0,Not Applicable
SDACNR,C,1.0,1.0,Adverse Event
SDACNR,C,10.0,10.0,Surgery
SDACNR,C,99.0,99.0,Other
SDCONCU,C,14.0,14.0,mg/m2
SDDOS_U,C,14.0,14.0,mg
SEX,C,2.0,2.0,Female
SEX,C,1.0,1.0,Male
SRBSA,C,1.0,1.0,<10%
SRBSA,C,2.0,2.0,10-30%
SRBSA,C,3.0,3.0,>30%
SREFECT,C,1.0,1.0,Psychosocial Impact
SREFECT,C,2.0,2.0,Limiting Instrumental ADL
SREFECT,C,3.0,3.0,Limiting Self-Care ADL
SREFECT,C,4.0,4.0,Limiting Sleep
SREFECT,C,5.0,5.0,Life-Threatening Consequences
SREFECT,C,98.0,98.0,Not Applicable
SRLOC,C,1.0,1.0,Scalp
SRLOC,C,10.0,10.0,Groin Crease / Thigh
SRLOC,C,11.0,11.0,Lower Leg
SRLOC,C,12.0,12.0,Foot
SRLOC,C,2.0,2.0,Face
SRLOC,C,3.0,3.0,Neck
SRLOC,C,4.0,4.0,Back
SRLOC,C,5.0,5.0,Chest
SRLOC,C,6.0,6.0,Abdomen
SRLOC,C,7.0,7.0,Arm
SRLOC,C,8.0,8.0,Hand
SRLOC,C,9.0,9.0,Buttock
SRLOC,C,98.0,98.0,Not Applicable
SRSIGN,C,1.0,1.0,Erythema
SRSIGN,C,10.0,10.0,Telangiectasia
SRSIGN,C,11.0,11.0,Fissures
SRSIGN,C,2.0,2.0,Oedema
SRSIGN,C,3.0,3.0,Blistering
SRSIGN,C,4.0,4.0,Ulceration
SRSIGN,C,5.0,5.0,Striae
SRSIGN,C,6.0,6.0,Superinfection – Local
SRSIGN,C,7.0,7.0,Superinfection - Extensive
SRSIGN,C,8.0,8.0,Hyperkeratosis
SRSIGN,C,9.0,9.0,Hyperpigmentation
SRSIGN,C,98.0,98.0,Not Applicable
SRSYMP,C,1.0,1.0,Pruritus
SRSYMP,C,2.0,2.0,Tenderness
SRSYMP,C,3.0,3.0,Burning
SRSYMP,C,4.0,4.0,Tightness
SRSYMP,C,5.0,5.0,Pain
SRSYMP,C,98.0,98.0,Not Applicable
STAT,C,1.0,1.0,Sucessful
STAT,C,2.0,2.0,Unsucessful
STYPE,C,6.0,6.0,Plasma
STYPE,C,7.0,7.0,Serum
SURSTAT,C,0.0,0.0,Dead
SURSTAT,C,1.0,1.0,Alive
SURSTAT,C,2.0,2.0,Lost to Follow-up
SURSTAT,C,97.0,97.0,Unknown
TBUT,C,1.0,1.0,<10sec
TBUT,C,2.0,2.0,>l0sec
TERM,C,1.0,1.0,Subject Decision
TERM,C,10.0,10.0,Subject Lost to Follow-up
TERM,C,2.0,2.0,Eligibility Criteria Not Fulfilled
TERM,C,3.0,3.0,Death
TERM,C,4.0,4.0,Adverse Event
TERM,C,5.0,5.0,Severe Non-Compliance to Protocol
TERM,C,6.0,6.0,Condition under Investigation Worsened
TERM,C,8.0,8.0,Condition under Investigation Improved/Subject Recovered
TERM,C,9.0,9.0,Development of Study-Specific Withdrawal Criteria
TERM,C,99.0,99.0,Other
TERMREA,C,1.0,1.0,Incorrect Enrolment
TERMREA,C,11.0,11.0,Death
TERMREA,C,7.0,7.0,Voluntary Discontinuation by Subject
TERMREA,C,8.0,8.0,Subject Lost to Follow-up
TERMREA,C,99.0,99.0,Other
TREATST,C,1.0,1.0,First Line
TREATST,C,2.0,2.0,Second Line
TREATST,C,3.0,3.0,Third Line
TREATST,C,4.0,4.0,Adjuvant
TREATST,C,5.0,5.0,Neo-Adjuvant
TREATST,C,9.0,9.0,Palliative
TREATST,C,98.0,98.0,Not Applicable
TUMGRAD,C,1.0,1.0,Well Differentiated (G1)
TUMGRAD,C,2.0,2.0,Mod. Differentiated (G2)
TUMGRAD,C,3.0,3.0,Poorly Differentiated (G3)
TUMGRAD,C,4.0,4.0,Undifferentiated (G4)
TUMGRAD,C,5.0,5.0,Unassessable (GX)
VIS_SEV,C,1.0,1.0,Mild
VIS_SEV,C,2.0,2.0,Moderate
VIS_SEV,C,3.0,3.0,Severe
YESONLY,C,1.0,1.0,Yes
